satellite_sf,strength,log_mh_perh,log_sm_smhm,log_accreted,ratio,log_icl,f_icl
false,3,12.5559,10.8837,9.8914,0.1018,10.6387,0.3626
false,3,12.7047,10.9396,10.0601,0.1320,10.8289,0.4366
false,3,12.8535,10.9945,10.2109,0.1646,11.0061,0.5067
false,3,13.0021,11.0487,10.3462,0.1984,11.1768,0.5732
false,3,13.1506,11.1027,10.4604,0.2279,11.3301,0.6280
false,3,13.2991,11.1564,10.5703,0.2594,11.4841,0.6802
false,3,13.4473,11.2101,10.6703,0.2886,11.6284,0.7238
false,3,13.5954,11.2636,10.7598,0.3135,11.7671,0.7612
false,3,13.7433,11.3170,10.8335,0.3284,11.8913,0.7896
false,3,13.8911,11.3704,10.9063,0.3435,12.0217,0.8175
false,3,14.0386,11.4237,10.9718,0.3533,12.1368,0.8378
false,3,14.1858,11.4768,11.0312,0.3584,12.2492,0.8555
false,3,14.3328,11.5299,11.0921,0.3649,12.3578,0.8706
false,3,14.4794,11.5829,11.1493,0.3685,12.4629,0.8835
false,3,14.6256,11.6357,11.1957,0.3631,12.5603,0.8937
false,4,10.3163,7.7203,NaN,0.0000,6.5737,0.0666
false,4,10.4658,8.0623,NaN,0.0000,6.8928,0.0634
false,4,10.6154,8.4026,NaN,0.0000,7.2010,0.0592
false,4,10.7649,8.7396,NaN,0.0000,7.4965,0.0541
false,4,10.9144,9.0704,NaN,0.0000,7.7942,0.0503
false,4,11.0638,9.3901,NaN,0.0000,8.0956,0.0483
false,4,11.2133,9.6905,NaN,0.0000,8.3883,0.0475
false,4,11.3626,9.9607,6.3417,0.0002,8.6802,0.0498
false,4,11.5120,10.1894,7.1809,0.0010,8.9672,0.0566
false,4,11.6613,10.3709,7.8286,0.0029,9.2544,0.0710
false,4,11.8105,10.5085,8.2997,0.0062,9.5299,0.0951
false,4,11.9597,10.6126,8.6904,0.0120,9.7946,0.1320
false,4,12.1089,10.6947,8.9994,0.0202,10.0435,0.1825
false,4,12.2579,10.7638,9.2709,0.0321,10.2824,0.2482
false,4,12.4069,10.8257,9.4849,0.0456,10.4932,0.3174
false,4,12.5559,10.8837,9.6843,0.0632,10.6909,0.3908
false,4,12.7047,10.9396,9.8506,0.0815,10.8844,0.4683
false,4,12.8535,10.9945,10.0044,0.1023,11.0599,0.5376
false,4,13.0021,11.0487,10.1352,0.1220,11.2279,0.6017
false,4,13.1506,11.1027,10.2453,0.1389,11.3812,0.6551
false,4,13.2991,11.1564,10.3538,0.1575,11.5346,0.7049
false,4,13.4473,11.2101,10.4535,0.1752,11.6785,0.7463
false,4,13.5954,11.2636,10.5325,0.1858,11.8131,0.7799
false,4,13.7433,11.3170,10.6133,0.1978,11.9444,0.8091
false,4,13.8911,11.3704,10.6815,0.2047,12.0721,0.8342
false,4,14.0386,11.4237,10.7496,0.2118,12.1893,0.8536
false,4,14.1858,11.4768,10.8002,0.2106,12.3007,0.8695
false,4,14.3328,11.5299,10.8623,0.2150,12.4120,0.8840
false,4,14.4794,11.5829,10.9126,0.2137,12.5154,0.8954
false,4,14.6256,11.6357,10.9581,0.2101,12.6135,0.9048
